stimulus_id,word_position,word,word_clean,length,length_prev,length_prevprev,frequency,frequency_prev,frequency_prevprev,total_fixation_duration,skip_rate,surprisal_first3chars,surprisal_word,surprisal_word_prev,surprisal_word_prevprev
59,7,California.,california,10.0,2.0,8.0,5.0,7.27,4.6,221.9375,0.15625,4.818796426667184,6.385831815156898,1.4018545317506508,3.9831467286536792
60,0,At,at,2.0,0.0,0.0,6.7,0.0,0.0,265.59375,0.0625,6.106593736902623,6.106593736902623,0.0,0.0
60,1,one,one,3.0,2.0,0.0,6.47,6.7,0.0,296.5625,0.59375,4.437172453540006,4.4396181652779365,6.106593736902623,0.0
60,2,of,of,2.0,3.0,2.0,7.4,6.47,6.7,128.5,0.625,3.899356193583131,3.899356193583131,4.4396181652779365,6.106593736902623
60,3,her,her,3.0,2.0,3.0,6.3,7.4,6.47,180.34375,0.59375,4.491470434359025,4.4932190991865415,3.899356193583131,4.4396181652779365
60,4,news,news,4.0,3.0,2.0,5.44,6.3,7.4,255.65625,0.375,5.437585686193231,7.186586270217958,4.4932190991865415,3.899356193583131
60,5,"conferences,",conferences,11.0,4.0,3.0,4.03,5.44,6.3,472.96875,0.09375,0.1050766738809194,1.1792222248704824,7.186586270217958,4.4932190991865415
60,6,Mrs.,mrs,3.0,11.0,4.0,4.89,4.03,5.44,190.09375,0.625,5.219518689365373,5.666136120209757,1.1792222248704824,7.186586270217958
60,7,Hills,hills,5.0,3.0,11.0,4.46,4.89,4.03,323.1875,0.34375,5.757567388498927,11.735634923914551,5.666136120209757,1.1792222248704824
60,8,"said,",said,4.0,5.0,3.0,6.01,4.46,4.89,202.5,0.375,1.7281744627926017,3.502884229038358,11.735634923914551,5.666136120209757
60,10,believe,believe,7.0,0.0,4.0,5.51,0.0,6.01,257.71875,0.25,4.121219419999626,4.180967286508164,0.0,3.502884229038358
60,11,we,we,2.0,7.0,0.0,6.54,5.51,0.0,103.25,0.75,2.687897549336391,2.687897549336391,4.180967286508164,0.0
60,12,can,can,3.0,2.0,7.0,6.46,6.54,5.51,151.21875,0.5625,2.144069604554616,2.214867346097961,2.687897549336391,4.180967286508164
60,13,do,do,2.0,3.0,2.0,6.35,6.46,6.54,93.375,0.625,2.2886915909555867,2.2886915909555867,2.214867346097961,2.687897549336391
60,14,much,much,4.0,2.0,3.0,6.0,6.35,6.46,205.53125,0.25,4.034285237528735,4.072614637067119,2.2886915909555867,2.214867346097961
60,15,better,better,6.0,4.0,2.0,5.76,6.0,6.35,229.1875,0.34375,0.7650592010535178,1.265352500509323,4.072614637067119,2.2886915909555867
60,16,than,than,4.0,6.0,4.0,6.13,5.76,6.0,319.9375,0.25,0.649717174500708,0.65801182156153,1.265352500509323,4.072614637067119
60,17,"20%.""",NUM%,3.0,4.0,6.0,5.08,6.13,5.76,407.8125,0.28125,13.59059429504893,18.78458435867836,0.65801182156153,1.265352500509323
61,0,We,we,2.0,0.0,0.0,6.54,0.0,0.0,205.90625,0.0,5.255517081525223,5.255517081525223,0.0,0.0
61,1,didn't,didn't,6.0,2.0,0.0,5.68,6.54,0.0,305.28125,0.375,4.910437033170805,5.575442527216435,5.255517081525223,0.0
